==========================================================================================
  Bezetting Check Report
==========================================================================================
  Totaal records                  : 19554
  Records met parsebare bezetting : 3363
  Vergeleken met RDW              : 1432
  RDW data ontbreekt              : 1931
  Onjuist geformatteerde bezetting: 0
  Buiten range (1-12)             : 0
  Bezetting != RDW zitplaatsen    : 255
  Bezetting > RDW zitplaatsen     : 152
  RDW zitplaatsen > bezetting     : 103

------------------------------------------------------------------------------------------
  Verdeling bezetting
------------------------------------------------------------------------------------------
   1 personen : 11
   2 personen : 149
   3 personen : 43
   4 personen : 108
   5 personen : 789
   6 personen : 262
   7 personen : 1091
   8 personen : 407
   9 personen : 496
  10 personen : 6
  11 personen : 1

------------------------------------------------------------------------------------------
  Onjuist geformatteerde bezetting
------------------------------------------------------------------------------------------
  (geen)

------------------------------------------------------------------------------------------
  Buiten range (1-12)
------------------------------------------------------------------------------------------
  (geen)

------------------------------------------------------------------------------------------
  Verschil: bezetting hoger dan RDW zitplaatsen
------------------------------------------------------------------------------------------
  Roepnummer   | Kenteken   | Bezetting |           RDW
  10-4931      | 06-BPG-5   |         8 |             7
  10-5004      | JJT-58-D   |         9 |             5
  10-5034      | BR-FP-50   |         9 |             8
  10-5009      | VB-746-S   |         8 |             7
  10-5002      | JL-624-V   |         9 |             8

------------------------------------------------------------------------------------------
  Verschil: RDW zitplaatsen hoger dan bezetting
------------------------------------------------------------------------------------------
  Roepnummer   | Kenteken   | Bezetting |           RDW
  -----------------------------------------------------
  01-1032      | BT-VS-39   |         6 |             7
  01-1131      | BV-VF-11   |         7 |             8
  01-1401      | GJN-66-B   |         5 |             8
  01-1502      | GFP-79-J   |         7 |             8
  01-1603      | HFR-03-G   |         7 |             8
  01-1604      | 5-SPX-72   |         7 |             9
  01-1701      | J-193-DZ   |         7 |             8
  01-1802      | J-181-DZ   |         7 |             9
  01-2031      | BZ-RB-99   |         6 |             7
  01-2701      | 5-VTD-66   |         5 |             6
  01-2904      | VTT-90-K   |         6 |             7
  01-3131      | BD-792-J   |         6 |             7
  GEEN         | VL-868-F   |         2 |             3
  01-3903      | 13-RP-RJ   |         7 |             9
  01-39Engine~ | 68-BNZ-1   |         4 |             6
  02-4001      | VXT-89-X   |         6 |             7
  02-4204      | N-694-RX   |         5 |             8
  02-0233      | 46-BDK-1   |         7 |             8
  02-4601      | N-693-RX   |         7 |             8
  02-4701      | GGF-59-H   |         5 |             9
  02-4869      | BS-JS-52   |         7 |             8
  02-5631      | BB-465-R   |         5 |             7
  02-7338      | BS-VH-53   |         6 |             8
  02-6332      | BZ-PV-39   |         7 |             8
  02-6402      | J-483-VN   |         7 |             8
  GEEN         | 14-FX-HB   |         7 |             9
  03-8002      | K-456-NS   |         7 |             8
  03-8131      | 69-BVD-1   |         7 |             8
  03-8102      | BX-VB-53   |         6 |             9
  03-8103      | BZ-ZH-83   |         6 |             8
  03-8204      | G-819-KV   |         7 |             9
  03-8301      | HBN-59-J   |         6 |             7
  03-8331      | BZ-DN-65   |         7 |             8
  03-8333      | 42-BVD-1   |         7 |             8
  03-8302      | HBR-62-H   |         6 |             7
  03-8401      | K-454-NS   |         7 |             8
  03-8432      | 84-BXZ-5   |         7 |             8
  03-8434      | 27-BXX-2   |         7 |             8
  03-8673      | V-238-HN   |         2 |             5
  03-8733      | 73-BVD-1   |         7 |             8
  03-8833      | 87-BXS-3   |         7 |             8
  03-8836      | 79-BVD-1   |         7 |             8
  03-8931      | 50-BVD-1   |         7 |             8
  03-9001      | HBN-57-J   |         6 |             8
  03-9031      | 19-BXR-4   |         7 |             8
  03-9002      | HBN-58-J   |         6 |             7
  03-9003      | HBN-56-J   |         6 |             8
  03-9103      | HBR-63-H   |         6 |             7
  03-9104      | 23-RXB-5   |         5 |             7
  03-9401      | TT-210-Z   |         8 |             9
  04-1132      | BV-JF-69   |         7 |             8
  04-1182      | V-819-JS   |         2 |             3
  04-1607      | ZK-146-B   |         8 |             9
  04-DB0014    | 7-VXJ-55   |         3 |             6
  04-DB0015    | 45-ZKJ-3   |         3 |             9
